dataset,comparison,n_pairs,MASE_mean_CeNN_NS,MASE_mean_other,MASE_delta_CeNN_minus_other,MASE_cohen_d_paired,MASE_wilcoxon_p,RMSE_mean_CeNN_NS,RMSE_mean_other,RMSE_delta_CeNN_minus_other,RMSE_cohen_d_paired,RMSE_wilcoxon_p,MAE_mean_CeNN_NS,MAE_mean_other,MAE_delta_CeNN_minus_other,MAE_cohen_d_paired,MAE_wilcoxon_p
ETTh1,CeNN_NS vs N-BEATS,5,1.9258257670513408,1.9452372660961323,-0.019411499044791468,-0.29001990845294057,0.8125,1.8105014623712035,1.8276037488590304,-0.017102286487826968,-0.38233849268998527,0.4375,1.3323420493863405,1.3457714867017407,-0.013429437315400162,-0.29001990845101017,0.8125
ETTh1,CeNN_NS vs QELM,5,1.9258257670513408,1.859265719094834,0.06656004795650676,2.334895227581142,0.0625,1.8105014623712035,1.8115700404404627,-0.0010685780692592406,-0.06281009610598155,0.8125,1.3323420493863405,1.2862938802223118,0.04604816916402865,2.334895227544652,0.0625
ETTh1,CeNN_NS vs CeNN_Emulator,5,1.9258257670513408,1.908415672056534,0.017410094994807102,0.2980189962689204,0.625,1.8105014623712035,1.7977273129369695,0.012774149434233805,0.47367891702233905,0.4375,1.3323420493863405,1.3202972413656708,0.012044808020669606,0.2980189962666485,0.625
ETTm2,CeNN_NS vs Persistence,5,13.167443853450655,11.569015358770471,1.5984284946801837,0.2690135260797284,0.8125,3.779003262872223,3.710164489208954,0.06883877366326932,0.04977766503106165,0.625,2.9635392906983697,2.603787944873174,0.35975134582519547,0.26901352607957235,0.8125
ETTm2,CeNN_NS vs MovingAverage,5,13.167443853450655,15.63101246744954,-2.4635686139988855,-0.4146155313152062,0.625,3.779003262872223,4.629183097129695,-0.850179834257472,-0.6147693335276955,0.3125,2.9635392906983697,3.5180039585696328,-0.5544646678712633,-0.414615531314966,0.625
ETTm2,CeNN_NS vs MLP,5,13.167443853450655,6.341162541430433,6.826281312020223,1.1116931410857334,0.0625,3.779003262872223,2.1830109932383763,1.5959922696338464,1.1138859564424324,0.0625,2.9635392906983697,1.427177859984504,1.5363614307138653,1.1116931410851099,0.0625
ETTm2,CeNN_NS vs LSTM,5,13.167443853450655,8.754049694243799,4.413394159206858,0.7561011104040678,0.0625,3.779003262872223,3.1106075274641096,0.6683957354081131,0.5030760241147427,0.3125,2.9635392906983697,1.9702358719242945,0.9933034187740748,0.7561011104036215,0.0625
ETTm2,CeNN_NS vs Transformer,5,13.167443853450655,9.961485296321554,3.205958557129102,0.5793665751656238,0.3125,3.779003262872223,3.167814081476808,0.6111891813954151,0.461095524084629,0.3125,2.9635392906983697,2.241988148795234,0.7215511419031356,0.5793665751652632,0.3125
ETTm2,CeNN_NS vs N-HiTS,5,13.167443853450655,6.494349300441167,6.673094553009489,1.1522256707397043,0.0625,3.779003262872223,2.232413099033523,1.5465901638386998,1.161552760200911,0.0625,2.9635392906983697,1.461654937251409,1.5018843534469606,1.152225670739019,0.0625
ETTm2,CeNN_NS vs N-BEATS,5,13.167443853450655,6.853594513405295,6.313849340045361,1.0713259057472784,0.0625,3.779003262872223,2.3474588281297,1.431544434742523,1.040348025896208,0.0625,2.9635392906983697,1.5425086940977308,1.4210305966006387,1.0713259057466524,0.0625
ETTm2,CeNN_NS vs QELM,5,13.167443853450655,535.1559193025143,-521.9884754490636,-0.5171650893620583,0.0625,3.779003262872223,275.91332981422886,-272.1343265513566,-0.518714783049037,0.0625,2.9635392906983697,120.445214056272,-117.48167476557364,-0.5171650893620566,0.0625
ETTm2,CeNN_NS vs CeNN_Emulator,5,13.167443853450655,15.374266660275381,-2.206822806824727,-0.34275988578175776,1.0,3.779003262872223,4.400353509661386,-0.6213502467891625,-0.3625735112116493,1.0,2.9635392906983697,3.4602192969640093,-0.49668000626564013,-0.3427598857815745,1.0
ExchangeRate,CeNN_NS vs Persistence,5,8.249853464005465,3.598218646854119,4.651634817151347,0.7563781957718678,0.0625,0.03234936633200529,0.014518145351341466,0.017831220980663823,0.721232336939243,0.0625,0.025336872051255475,0.011050815128481176,0.014286056922774303,0.756378195731944,0.0625
ExchangeRate,CeNN_NS vs MovingAverage,5,8.249853464005465,4.120046346035607,4.129807117969857,0.6715265018780654,0.0625,0.03234936633200529,0.016085499356682034,0.01626386697532325,0.6578364318966945,0.0625,0.025336872051255475,0.012653447430333373,0.012683424620922108,0.6715265018426205,0.0625
ExchangeRate,CeNN_NS vs MLP,5,8.249853464005465,4.0702434054053445,4.179610058600121,0.6946751594912279,0.0625,0.03234936633200529,0.0159232759240959,0.016426090407909388,0.6769839066667068,0.0625,0.025336872051255475,0.012500493109383217,0.012836378941872261,0.6946751594537492,0.0625
ExchangeRate,CeNN_NS vs LSTM,5,8.249853464005465,4.932769444954525,3.3170840190509403,0.5583432531364766,0.125,0.03234936633200529,0.0191961265505101,0.013153239781495185,0.5493096972568292,0.125,0.025336872051255475,0.015149474936791741,0.010187397114463741,0.5583432531059693,0.125
ExchangeRate,CeNN_NS vs Transformer,5,8.249853464005465,6.2047025003072305,2.0451509636982346,0.3290733393280155,0.8125,0.03234936633200529,0.02525004285414729,0.0070993234778579965,0.2857660179982081,0.8125,0.025336872051255475,0.019055823724905514,0.0062810483263499705,0.32907333931082794,0.8125
ExchangeRate,CeNN_NS vs N-HiTS,5,8.249853464005465,3.95056779730704,4.299285666698426,0.6980274273558168,0.0625,0.03234936633200529,0.015505888685750344,0.016843477646254944,0.6801318057690361,0.0625,0.025336872051255475,0.01213294651194696,0.01320392553930852,0.6980274273190287,0.0625
ExchangeRate,CeNN_NS vs N-BEATS,5,8.249853464005465,3.9319846182740767,4.317868845731388,0.7020243219109884,0.0625,0.03234936633200529,0.01552549321260938,0.01682387311939591,0.6809536973167561,0.0625,0.025336872051255475,0.012075874027990968,0.013260998023264511,0.702024321873938,0.0625
ExchangeRate,CeNN_NS vs QELM,5,8.249853464005465,230.34643493317222,-222.09658146916672,-0.8865210666244432,0.0625,0.03234936633200529,1.4690459065544086,-1.4366965402224037,-0.932513644526815,0.0625,0.025336872051255475,0.7074377956927991,-0.6821009236415436,-0.8865210666232944,0.0625
ExchangeRate,CeNN_NS vs CeNN_Emulator,5,8.249853464005465,8.078797707623824,0.17105575638164083,0.10350049481802363,0.625,0.03234936633200529,0.03233143464764907,1.7931684356216337e-05,0.003117626332248452,0.625,0.025336872051255475,0.02481152722761929,0.0005253448236361896,0.10350049479769508,0.625
