dataset,model,seed,emul_Pearson_r,emul_Spearman_r,emul_MAE_to_teacher,emul_RMSE_to_teacher,emul_KL_teacher_to_model,emul_JS_distance,emul_spectral_distance,emul_autocorr_distance,observable_MSE,observable_Pearson_r
Jena,CeNN_Emulator,7,0.5384113788604736,0.7344300404852063,2.546942710876465,5.394872188568115,1.2826888837568287,0.1939280699208591,0.8562867045402527,2.0336149916989767,0.0016912749269977212,0.9967855215072632
Jena,CeNN_NS,99,0.2552763819694519,0.4603675750558648,6.372802734375,12.856338500976562,3.4513290241558057,0.32717728255964357,0.9943519830703735,2.4701401908004783,0.003842536360025406,0.9929816722869873
Jena,CeNN_Emulator,99,0.25306689739227295,0.45579466121082685,6.630557060241699,12.939056396484375,3.46594106092537,0.3447293734647686,1.010096549987793,2.490130816480856,0.005057608243077993,0.9908138513565063
ETTh1,CeNN_NS,42,0.9686056971549988,0.968832663505702,0.497325599193573,0.653010368347168,0.01917111693152316,0.06641205687931818,0.2059250771999359,0.1118572271691047,0.004031853284686804,0.9922100901603699
ETTh1,CeNN_Emulator,42,0.978951096534729,0.9806307677023107,0.40706127882003784,0.541343092918396,0.017824412977702167,0.058901293900048245,0.1718813180923462,0.07438919486121895,0.0018341809045523405,0.9964388012886047
ETTh1,CeNN_NS,123,0.9739250540733337,0.973709270313822,0.5711010694503784,0.7174709439277649,0.027213030652294846,0.08232127445593841,0.18064190447330475,0.06952383582322316,0.0035888170823454857,0.9940972924232483
ETTh1,CeNN_Emulator,123,0.9747567176818848,0.9743781906556542,0.4266642928123474,0.5753794312477112,0.01212530399192396,0.053405165957286845,0.2158280909061432,0.13379263627099117,0.0021102451719343662,0.9963613748550415
ETTh1,CeNN_NS,2024,0.9716542959213257,0.9722544453863643,0.5996690392494202,0.7389549016952515,0.03448897676979046,0.09219952392752999,0.18619093298912048,0.11676212517505397,0.0051761046051979065,0.9875624179840088
ETTh1,CeNN_Emulator,2024,0.9729868173599243,0.973501976036053,0.5442653894424438,0.6863195300102234,0.024731133444390832,0.07807318614798683,0.18043926358222961,0.10292441987113324,0.003618223126977682,0.9912927150726318
ETTh1,CeNN_NS,7,0.9733561873435974,0.9735346304483031,0.5313244462013245,0.6736493706703186,0.02503528893792781,0.07703750172159866,0.19462236762046814,0.04935416575811981,0.004408934619277716,0.9913492798805237
ETTh1,CeNN_Emulator,7,0.9718720316886902,0.9716492791157557,0.6773067116737366,0.8140827417373657,0.046003775121732635,0.106518140481862,0.19589340686798096,0.0222251300306116,0.0036692777648568153,0.9927730560302734
ETTh1,CeNN_NS,99,0.9738454818725586,0.9760477458587932,0.5295618772506714,0.6735233664512634,0.025337464647001103,0.07811805856703401,0.1841229796409607,0.10624150332218638,0.0028447790537029505,0.9949474334716797
ETTh1,CeNN_Emulator,99,0.9767554402351379,0.9778128858926587,0.44066983461380005,0.5791998505592346,0.015064359672894765,0.060737187043300576,0.16388821601867676,0.09694542336650681,0.0018417614046484232,0.9967473745346069
ETTm2,CeNN_NS,42,0.2982567250728607,0.39104513872840285,21.49904441833496,40.406776428222656,7.35958793693238,0.4480772388620212,0.9276857972145081,1.0300160433962884,0.02528107725083828,0.9577018022537231
ETTm2,CeNN_Emulator,42,0.3313242495059967,0.4067226947164389,21.497455596923828,40.2025260925293,7.261272275603169,0.4467633634942779,0.9521834254264832,1.0479279036938913,0.027673371136188507,0.9542269110679626
ETTm2,CeNN_NS,123,-0.0213569737970829,0.006784397948192027,528.107421875,1214.1597900390625,11.898853246925203,0.46717007647758363,1.156870722770691,2.635843739274807,0.042416881769895554,0.9024925827980042
ETTm2,CeNN_Emulator,123,0.209031343460083,0.2324754402021172,527.3047485351562,1212.602783203125,11.898853246925203,0.46717007647758363,1.121099829673767,0.6678333377166905,0.07923029363155365,0.8044085502624512
ETTm2,CeNN_NS,2024,0.04621491581201553,0.32797314387953563,8.400705337524414,17.74129867553711,4.441948241054314,0.304213471201407,0.6292503476142883,1.9950302744934139,0.042176902294158936,0.9155011177062988
ETTm2,CeNN_Emulator,2024,0.06182645633816719,0.3300638351186194,8.510784149169922,17.963834762573242,3.3621799022651264,0.30366810711343384,0.5926994681358337,1.972643494468554,0.03567749634385109,0.9291022419929504
